actor,text
Steve,"Uh-uh. Cap’n Cook, that's a white boy's name. Dopey as hell, too."
Hank,Yeah? Tell you what. I got 20 bucks that says he's a beaner.
Steve,All right. You're on.
Hank,"All right, come on, come on. All right. School bus is clear. Got the green light."
Agent,Copy that.
Hank,Watch this. This makes 'em shit.
Agent,"Go, go, go."
Hank,"Meth labs are nasty on a good day. You mix that shit wrong, you got mustard gas."
Walter,Phosphine gas. I think.
Hank,"Yeah, exactly. One whiff will k*ll you. That's why the respirators."
Agent,House is clear. One suspect in custody.
Hank,"Copy that. The suspect, might he be of the Latino persuasion?"
Agent,Driver's license says Emilio Koyama.
Steve,"Asian! Pay up, sucker."
Hank,"Hey hey hey! First name Emilio. That's at least half a beaner. Tell you what, I'll let you off for a 10. Cheer up, Gomey. You people still got J. Lo."
Walter,"Hank, do you think I might get to go inside? See the actual lab?"
Hank,"Yeah. Yeah, I tell you what, we're gonna go peek our heads in, check it out first. Stay here a minute."
Jesse,God.
Walter,"Oh, my God. Pinkman?"
Walter,It's me. I'm alone.
Jesse,How'd you find me?
Walter,"You're still in our filing system. So your aunt owns this place, right?"
Jesse,I own it.
Walter,No one's looking for you.
Jesse,Why are you here?
Walter,"I was curious. Honestly, I never expected you to amount to much, but methamphetamine? I didn't picture that. There's a lot of money in it, huh?"
Jesse,I don't know what you're talking about.
Walter,No?
Jesse,Not a clue.
Walter,"Cap'n Cook? That's not you? Like I said, no one is looking for you."
Jesse,"Look, I don't know what you think you're doing here, Mr. White. I mean, if you're planning on giving me some bowl winder about getting right with Jesus by turning myself in..."
Walter,Not really.
Jesse,"High school was a long time ago. You ain't Welcome Back Kotter, so step off. No speeches."
Walter,"Short speech. You lost your partner today. What's his name? Emilio? Emilio is going to prison. The DEA took all your money, your lab. You got nothing. Square 1. But you know the business. And I know the chemistry. I'm thinking maybe you and I could partner up."
Jesse,"You want to cook crystal meth? You? You and, uh and me?"
Walter,That's right. Either that or I turn you in.
Marie,What the hell is this?
Skyler,Damned if I know. I described it as mosaic folk art.
Marie,Somebody bought it?
Skyler,"Yeah, some guy in Minneapolis. 14 dollars plus shipping."
Marie,"Yes! At this rate, in 50 or 60 years, you'll be rich. So how goes the novel?"
Skyler,"It's not a novel, actually, which I have..."
Marie,You're not writing a novel? You told me you were.
Skyler,No. Short stories. I said that if eventually I have enough good ones that maybe I'll try and publish another collection.
Marie,Those really didn't sell. I just thought a novel would be easier to sell.
Skyler,"Yeah, well, maybe so."
Marie,"Ever want me to read anything, I could critique it for you."
Skyler,"No. I mean, I'm not at that stage where I...no."
Marie,Open offer. So what's up with Walt lately?
Skyler,What do you mean? He's fine.
Marie,"He just seems, I don't know, quieter than usual."
Skyler,"Turning 50 is a big deal. I mean, I'm sure as hell not looking forward to 40. You're gonna be a complete basket case."
Marie,So it's a mid-life crisis.
Skyler,"No, he's just quiet."
Marie,How's the s*x?
Skyler,"Marie, Jesus."
Marie,Guess that answers that.
Walter,"You just gonna sit there? This. Look at this. Kjeldahl-style recovery flask, Very rare. You got your usual paraphernalia  Griffin beakers, your Erlenmeyer flask. But the piece de resistance  a round bottom boiling flask."
Jesse,"Well, I cook in one of those. The big one."
Walter,"One of these? No, this is a volumetric flask. You wouldn't cook in one of these."
Jesse,"Yeah, I do."
Walter,"No, you don't. A volumetric flask is for general mixing and titration. You wouldn't apply heat to a volumetric flask. That's what a boiling flask is for. Did you learn nothing from my chemistry class?"
Jesse,No. You flunked me. Remember?
Walter,No wonder.
Jesse,"Prick. Now let me tell you something else. This ain't chemistry, this is art. Cooking is art. And the shit I cook is the b*mb, so don't be telling me."
Walter,The shit you cook is shit. I saw your setup. Ridiculous. You and I will not make garbage. We will produce a chemically pure and stable product that performs as advertised. No adulterants. No baby formula. No chili powder.
Jesse,"No, no, chili P is my signature."
Walter,Not anymore.
Jesse,"Yeah, well, we'll see about that. What the hell is this?"
Walter,"Lab safety equipment. We're also gonna have an emergency eye wash station. These chemicals and their fumes are toxic, in case you didn't know that."
Jesse,"Well, you can dress up like a f*gg*t if you want. Not me. Listen, this stuff doesn't stay more than a day."
Walter,What? I thought we were gonna cook here.
Jesse,"No, we're not gonna cook here. Okay, this is my house. I don't shit where I eat."
Walter,"Well, then, where are we gonna work?"
Jesse,"You tell me. This is your deal. You want to smoke it up, smoke it up at your house. Nah, I didn't think so."
Walter,"Oh, well. Well what if we rented one of those self-storage places, you know, those little orange garages, worked out of there?"
Jesse,No. They're on to that. They got dogs that sniff around. RV. That's what you want.
Walter,"What, like a Winnebago?"
Jesse,"Yeah. I know a dude who wants to sell his. He just goes camping with it. But a mobile meth lab? That'd be the b*mb. I mean, drive way out in the boonies. Be all evasive."
Jesse,"Dude, this isn't even 7 grand. My guy wants 85."
Walter,This is all the money I have in the world. You're a drug dealer. Negotiate.
Jesse,"You are not how I remember you from class, I mean, like, not at all."
Walter,I gotta go.
Jesse,"Wait, wait. Hold on. Tell me why you're doing this. Seriously."
Walter,Why do you do it?
Jesse,"Money, mainly."
Walter,There you go.
Jesse,"Nah, come on! Man, some straight like you, giant stick up his ass, all of a sudden at age, what, 60, he's just gonna break bad?"
Walter,I'm 50.
Jesse,"It's weird is all, okay? It doesn't compute. Listen if you've gone crazy or something I mean, if you've if you've gone crazy or depressed, I'm just saying that's something I need to know about. Okay? I mean, that affects me."
Walter,I am awake.
Jesse,What?
Walter,Buy the RV. We start tomorrow.
Skyler,How's it coming in there?
Walter Jr,Fine.
Skyler,Do you want me or your dad?
Walter Jr,Dad.
Skyler,So how are those feeling in the waist? Are they too tight? 'Cause you don't want to get 'em if they're too tight.
Walter Jr,They're pre-shrunk.
Skyler,"Are you sure you don't want to get a different kind? Like, you know, the skinny jeans? Those are really supposed to be in style now. The skaters wear them."
Walter Jr,Do I look like a skater?
Skyler,All right.
Teenager,"Mom, look at my big-boy pants. Mommy, could you zip up my big-boy pants?"
Walter,Don't.
Skyler,What?
Walter,Don't.
Skyler,Walt.
Walter Jr,Where...
Skyler,"I have no idea. You know what? Don't even look at them. They're obviously very stupid. Yep. I think that, um I think those jeans look really good on you. You should get 'em if you like 'em, okay? Why don't you just hang out here for a second? I'll be right back."
Walter Jr,Fine.
Teenager,"Mommy, I think I pinched a loaf in my brand-new big-boy pants. What are you doing?"
Walter,"What's wrong, chief? Having a little trouble walking?"
Teenager,"Get off me. Get off me! I'll mess you up, man."
Walter,"Well, you'll have one sh*t. You better make it good. What, are you waiting for your girlfriends? You better go. Take it. Take your sh*t. Take it! Come on. Come on."
Teenager,"Come on, let's get outta here. Let's go. Psycho."
Jesse,"Yeah, nothing but cows! Got some big cow house way out that way, like 2 miles, but I don't see nobody."
Walter,Cow house?
Jesse,"Yeah, where they live. The cows. Whatever, man. Yeah, let's cook here."
Walter,Cow house. God help me.
Jesse,What are you doing?
Walter,These are my good clothes. I can't go home smelling like a meth lab.
Jesse,"Yeah, you can. I do. Those? Those, uh You're keeping those on, right?"
Walter,Come on. Daylight's burning.
Jesse,"Oh, my God. Oh, this is, uh this is a good look for you. And you're maybe only the world's second biggest h*m*."
Walter,Would you shut up and help me?
Jesse,"Oh, yeah. Oh, yeah, work it. Baby, work it."
Walter,Turn that off!
Jesse,"This is glass grade. I mean, you got...Jesus, you got crystals in here two inches, three inches long. This is pure glass. You're a g*dd*mn artist. This is art, Mr. White."
Walter,"Actually, it's just basic chemistry, but thank you, Jesse. I'm glad it's acceptable."
Jesse,Acceptable? You're the g*dd*mn Iron Chef. Every jibhead from here to Timbuktu is going to want a taste. Now I gotta try this.
Walter,"No. No. No, we only sell it. We don't use it."
Jesse,"Okay, since when? Listen, you've been watching way too much Miami Vice. That ain't happening."
Walter,So what now? How do we proceed?
Jesse,We cook more tomorrow. Meantime I know just the guy to talk to.
Jesse,"Kraze, how you doing, my man? You got a new dog. Right on, man. What's his name? Yeah, I had a dog like that once, except maybe, like, twice as big. Super purebred. Now, me personally, I would train him to go straight for the nuts..."
Krazy-8,Just shut your mouth and show me your money.
Jesse,"I ain't buying, ese. I'm selling. Tell me that ain't the finest scante you ever laid eyes on. Go ahead, try it. Hey, poochie. How you doing? Jesus Christ. See? What'd I say?"
Krazy-8,It's all right.
Jesse,It's all right? It's all right?
Krazy-8,"Yeah, it's all right. So, what? You back in business?"
Jesse,"Hell, yeah, I'm back. With a vengeance. Vato loco gotta make a living. You know, with your cousin gone away and all. And listen, homes, about that. It really broke me up about Emilio. That dude is like my brother. He okay? You talk to him?"
Krazy-8,"Yeah, yeah, I talked to him. He said when the Feds came, you were out sticking it in some neighbor lady."
Jesse,"Hey, you know, I got lucky twice."
Krazy-8,"I don't know, man. Emilio, he thinks maybe you dimed on him."
Jesse,"That is bullshit. That is bullshit, Krazy-8! I should kick his punk ass for even thinking that. You know what? Next time you talk to Emilio, you tell him for me, all right?"
Krazy-8,Why don't you tell him yourself? Made bail this morning.
Emilio,"Go ahead, pendejo. Kick my ass."
Jesse,"Hey, listen..."
Krazy-8,Where did you get this? Because I know your little punk ass didn't cook it.
Krazy-8,"Hey, man. You some kind of nudist? That's some stone-fine tick tick you been cooking there, ese. How about you come work for me?"
Walter,I'd be willing to sell it to you if the price is right.
Krazy-8,"You out here all by yourself, huh?"
Emilio,I know you. He was there when I got busted. He's with the DEA!
Walter,No.
Emilio,You ratasnitch m*therf*cker!
Jesse,"Run, Mr. White! Run!"
Emilio,I say we cap 'em both.
Krazy-8,"Hey, you really cook up that batch?"
Walter,Yeah.
Krazy-8,You an artist. It's a damn shame.
Walter,Wait! Wait a minute. Listen to me. I'll teach you my recipe. What do you say? You want to cook like me? You let us both live and I will teach you. Put the cigarette out. Please.
Emilio,"Move it, homes. We ain't got all day."
Walter,Okay.
Jesse,What happened? What'd you do to them?
Walter,"Red phosphorus in the presence of moisture and accelerated by heat yields phosphorus hydride. Phosphine gas. One good whiff and...we gotta, we gotta clean this up."
Skyler,"Where were you? Walt. I don't know what's been going on with you lately, but..."
Walter,Nothing. I'm fine.
Skyler,"Whatever it is, I'll tell you this. I do not like it when you don't talk to me. The worst thing you can do is shut me out. Walter, is that you?"
Submitted and corrected by,Tv_Gal13
Walter,You are a lifesaver.
Jesse,"Yeah, man."
Walter,We can't thank you enough.
Jesse,"Hey, mad props."
Walter,"I could have sworn the guy said south. But then, all of a sudden we're off the main road. I'm trying to read the map while I'm driving, which is a bonehead maneuver. And all of a sudden bam, we're in that ditch."
Jesse,"Yeah, bam, I'm like, what the hell? You know?"
Walter,"Yes, and my coffee mug. Coffee? My mug of coffee? It spills all over my pants. I mean, just a nightmare."
Jesse,"Dude, you so need GPS. I mean, for real."
Walter,"Like I said, we couldn't be more grateful."
Jesse,Can't we just dump 'em here?
Walter,"What, then somebody finds them? Then what? People have seen us."
Jesse,"You're gonna flood it, man."
Walter,"I'm not gonna flood it. She's not gonna flood, all right? We're just gonna stay positive, right? We're going to clean up this mess. Wish you would start."
Jesse,Damn it. See? You flooded it.
Walter,All right. All right. You know what? The RV is going to start now. The RV is going to start right now. It's gonna start and we're gonna drive it over to your house.
Jesse,My house?
Walter,Yes. We'll drive it over there and park it overnight. And then tomorrow...
Jesse,"No, man, not my house!"
Walter,"Shut up! After we finish cleaning up this mess, we will go our separate ways. Our paths will never cross. And we will tell this to no one. Understood?"
Jesse,"What, I can talk now? Fine. That goes double for me."
Walter,"Be good to me. Oh, shit."
Skyler,Walt? You coming out?
Walter,"Yeah, absolutely."
Walter,"You wanna hear something funny? We had a faculty meeting last Thursday and the topic was senior class photos, and how we had instituted a new rule last year that seniors are allowed to have photos taken by a photographer of their choice. Not necessarily the photographer that the school hires, right? So anyway, some of the senior girls were going to that Glamour Shots place, to have their photos taken, and now they're bringing us all these photos, and Joan Epperman, you know Joan, suddenly has to go through all these photos and turn them down, because they show cleavage."
Skyler,"Did you get enough pancakes, sweetie?"
Walter Junior,Yeah. I'm good.
Walter,"You know, even these small-busted girls have cleavage. Apparently there's some new type of brassiere, or something."
Walter Junior,The Wonderbra. It's the Wonderbra.
Walter(Answering Machine),"Hey, there. You've reached Walt, Skyler and Walter Junior. We can't come to the phone right now, so please leave us a message."
Jesse,"Hello, Mr. White. This is AT&T calling. Are you happy with your current long distance service? 'Cause if you're not, I would definitely, really love to talk to you as soon as possible about..."
Walter,Hello? Hello. This is Walter White speaking.
Jesse,"You said he was practically dead, okay? You said he would die any minute!"
Walter,"Listen, I am having breakfast with my family right now, and I really don't appreciate these sales calls."
Jesse,"Well, too bad, man, 'cause guess what. He's still not dead! I went and put my ear to the RV, I can hear him, like, rolling around in there, all right? I think he's awake, man, I think he's trying to get loose. Where the hell are you? I'm freaking out over here!"
Walter,"Calm down, damn it."
Jesse,Are you gonna help me clean this up? We got loose ends here!
Walter,Calm down! I will be there after school.
Jesse,"After school? Are you sh1tting me? Ditch it, man, call in sick."
Walter,"Listen, that is just not going to work for me. I'm not interested in that at all. And I would appreciate it if you don't call here anymore. Damn. They're so annoying, those people."
Skyler,"You have a good day, sweetie."
Walter Junior,"Okay, Mom. You too."
Skyler,"Bye, honey. Drive safe."
Walter,Okay.
Jesse(Answering Machine),"Yo, yo, yo, 148-3369, representing the ABQ. What up, biatch? Leave it at the tone."
Walter,"So, the term ""chiral"" derives from the Greek word ""hand. "" The concept here being that, just as your left hand, and your right hand are mirror images of one another, right? Identical, and yet opposite. Well, so too organic compounds can exist as mirror image forms of one another all the way down at the molecular level. But although they may look the same, they don't always behave the same. For instance...I'm sorry for instance Thalidomide. The right-handed isomer of the drug, Thalidomide is a perfectly fine good medicine to give to a pregnant woman to prevent morning sickness but, make the mistake of giving that same pregnant woman the left-handed isomer of the drug Thalidomide, and her child will be born with horrible birth defects. Which is precisely what happened in the 1950s. So, chiral, chirality, mirrored images, right? Active, inactive. Good, bad. Yes, Ben?"
Ben,Is this gonna be on the m*rder?
Walter,What?
Ben,Is this gonna be on the mid-term?
Walter,"The chirality on the mid-term? No, no, well, maybe, maybe, yes, you know, but prepare for it to be on the mid-term. Can't hurt to know it, right? Knowledge is power!"
Jesse,"Oh, no, no not good. Not good."
Walter,"What the...hey, you. Listen No, no, no, no! Oh, God!"
Skyler,MILF's? What the hell is a MILF?
Walter,"Now what? The other one, out in the RV, he's...You're sure?"
Jesse,Yes.
Walter,Positive?
Jesse,Feel free to go check it yourself.
Walter,"Yes, good idea. Maybe I should do that before he, too, wanders off on the damn street!"
Jesse,"Okay, you know what, I…"
Walter,"All right, all right! The one downstairs, tell me about him. Come on, anything, something! Start with his name, at least!"
Jesse,Krazy-8.
Walter,Krazy-8? What the hell does that even mean?
Jesse,"I don't know, man, okay? I mean, he's like, Krazy-8, okay? I don't know."
Walter,"So, you work with him regularly?"
Jesse,"No, not him so much. His cousin, mainly."
Walter,Who's his cousin?
Jesse,The guy out in the RV!
Walter,"All right, all right."
Jesse,Krazy-8's one level higher.
Walter,One level higher?
Jesse,"Yeah, you know, not like street level. Higher. You know, there's like a Starbucks at every corner? Krazy-8 is, like, the dude that sells Starbucks his beans."
Walter,"Okay, so he's a distributor. Okay, so, is he, I mean, is he in other words what is his reputation for violence?"
Jesse,"Well, um he did try to k*ll us both yesterday, so there's that."
Walter,"What I'm trying to say is that he's a distributor, right? He's a businessman, he's a man of business. It would therefore seem to follow that he is capable of acting out of mutual self-interest, yes?"
Jesse,What?
Walter,Do you think he is capable of listening to reason?
Jesse,"What kind of reason? Like ""Dear Krazy-8, listen, ""if I let you go, will you promise not to come back and waste my family? ""No Colombian neckties. "" You mean that kind of reason? No, man, I can't say I have high f*cking hopes where that's concerned. What was that? What was what? Come see! We gotta tie him up. Why the hell didn't we tie him up?"
Walter,Because he was out cold.
Jesse,"But what if he's faking it? Like if it was me, I'd be all faking being knocked out, yo! And then, when the coast is clear, I'd be up looking for w*apons and shit, waiting to pounce!"
Jesse,"Now if it was me, and I couldn't find a decent enough w*apon, I would just lie back down, and bide my time."
Jesse,So now what do we do?
Walter,You keep asking me that like you think I have some answer.
Jesse,"Well, you gotta do something!"
Walter,"We! We have got to do something, and I am opened to suggestions."
Jesse,"Man, uh-uh, okay, this whole thing was your deal!"
Walter,"Don't you dare put that on me! You brought those guys out there, this is your responsibility!"
Jesse,"Like I came to you, begging to cook meth. ""Hey nerdiest old dude I know, you wanna come cook crystal? Please! I'd ask my diaper-wearing granny, but her wheelchair wouldn't fit in the RV. "" What about the phosphate gas?"
Walter,Phosphine gas. What about it?
Jesse,"I mean, do you think it still might k*ll him? You know, with like a delayed reaction or something?"
Walter,I don't know.
Jesse,You're supposed to be a scientist!
Walter,"Look! This isn't even the issue that demands immediate attention. We have got a body in that RV, and it's getting warmer outside, understand? And we have got to do something about that soon. And in a way that no one will ever find it. Now that last part is very, very important. Therefore, it seems to me that our best course of action would be chemical disincorporation. Dissolving in strong acid."
Jesse,"Oh man, that's messed up. You're not serious? You're serious? Who's gonna do that? And don't look at me!"
Walter,I guess we'll both do it together.
Jesse,"No, Mr. White, okay, I'm not good with dead bodies."
Walter,"We're in this 50/50, okay? I guess the only other fair way to go about this would be that one of us deals with the body situation, while the other one of us deals with the Krazy-8 situation. In a scenario like this, I don't suppose it is bad form to just flip a coin. Heads or tails?"
Jesse,"I'll do the body in the acid, okay?"
Walter,Heads or tails?
Jesse,Heads.
Walter,Best two out of three?
Jesse(Answering Machine),"Yo, yo, yo, 148-3369, representing the ABQ. What up, biatch? Leave it at the tone."
Jesse,"Mr. White, it's me, pick up. I got a container question. Hello? Mr. White, pick up the phone, man!"
Walter,Yes?
Jesse,"What kind of plastic, man?"
Walter,Polyethylene.
Jesse,How the hell am I supposed to know that?
Walter,"Because I told you. Look, just look at the bottom for a triangle stamped ""LDPE. "" It should be molded right into the plastic."
Jesse,"Yeah, yeah, LDPE. Right on, got it. But I don't know, man, this feels kind of flimsy. Any decent acid's gonna eat right through this."
Walter,Not hydrofluoric.
Jesse,Why not?
Walter,"Look, you skipped, clowned around or otherwise jerked off to every lecture I ever gave. As far as I'm concerned, your chemistry education is over."
Jesse,"Oh, okay. Be a dick about it. So, hey, have you done the thing?"
Walter,"Yeah, I'm working up to it."
Jesse,"You know what? I bet he doesn't even wake up. Not even if you took him to the hospital right now. Now, if it was me, I would just try and think of it like I was doing him a favor."
 Krazy-8,"Who's there? Don't you f*cking play games with me. Who's there? Yeah, I see you. What are you gonna do? I need water! Bring me some water, would you? Please?"
Walter,You don't like the crust?
 Krazy-8,Where's my cousin Emilio? He dead?
Jesse,"Hey, Mr. White! Mr. White? Are you smoking weed? Oh, my God! Wait a minute. Is that my weed? What the hell, man? Make yourself at home, why don't you?"
Walter,So what did you end up buying?
Jesse,Nothing. No store in town sells a plastic bin big enough for a body.
Walter,"I don't suppose you could buy two bins. Legs in one, torso in the other?"
Jesse,God. I don't suppose you could kiss my ass? How did it go? So you didn't do it?
Walter,Not yet. God. I gotta go.
Jesse,"What? No, come back here!"
Walter,"Sorry. I'll do it tomorrow, I promise."
Jesse,Tomorrow?
Walter,"I've got a doctor's appointment, I gotta go. Look, stay away from him. He's awake."
Jesse,"Hey, man, we flipped a coin. We flipped a coin!"
Skyler,We're good?
Doctor,"We're very good. We're excellent, I'd say. Oh, would you look at that face! Smile, peanut! So, who's up for knowing? Girl."
Skyler,Girl?
Walter,You sure?
Doctor,Pretty sure.
Walter,Can I tell you this is exactly what I was hoping?
Skyler,You remember you said that when she's 16 and starts dating.
Doctor,"Looking fabulous. Let me see if they're done with the blood sugar, then we'll get you out. I'll be right back."
Skyler,Who is Jesse Pinkman?
Walter,Jesse?
Skyler,"Jesse Pinkman. He called just this morning, Walt, please don't deny it. It says on his MyShout page he attended Wynne. Was he one of your students?"
Walter,Yeah. He was nobody.
Skyler,"Who is he to you? Why is he calling? What is this big secret you seem to be discussing with some druggie burn-out? You don't come home last night until 2 in the morning, you don't tell me where you've been. You spent the entire night in the bathroom, Walt. Tell me what's going on with you. Don't you think you owe me that? Who's this Jesse Pinkman to you?"
Walter,He sells me pot.
Skyler,He sells you pot?
